FIPS,State,County,PCT_NHWHITE10,PCT_NHBLACK10,PCT_HISP10,PCT_NHASIAN10,PCT_NHNA10,PCT_NHPI10,PCT_65OLDER10,PCT_18YOUNGER10,MEDHHINC15,POVRATE15,PERPOV10,CHILDPOVRATE15,PERCHLDPOV10,METRO13,POPLOSS10
32019,NV,Lyon,78.17237399,0.6983455175,14.76337053,1.348595614,2.041169681,0.2385532897,15.80415544,24.87110427,51934,13.8,0,22.6,0,0,0
32021,NV,Mineral,68.54568315,3.813914501,9.136630344,1.026823135,13.95641241,0.1257334451,22.54819782,18.31517184,42164,18,0,33.6,0,0,1
32023,NV,Nye,78.87634825,1.902334683,13.57802758,1.244709416,1.347107814,0.4073180722,23.44013107,20.67992536,43819,17.5,0,28.6,0,0,0
32027,NV,Pershing,68.1919147,3.716866578,22.33081593,1.288316304,2.561824374,0.1036576336,12.95720421,19.57648453,54416,18.3,0,19.9,0,0,0
32029,NV,Storey,88.0798005,0.9975062344,5.685785536,1.645885287,1.421446384,0.2992518703,18.40399002,17.48129676,61594,7.8,0,13.1,0,1,0
32031,NV,Washoe,66.0200234,2.156584964,22.24073164,5.051648406,1.372070231,0.5595540653,12.07360106,23.57151163,56457,13.8,0,18.3,0,1,0
32033,NV,White Pine,76.29112662,3.868394816,13.22033898,0.9571286142,3.828514457,0.08973080758,14.89531406,21.66500499,54975,14.1,0,19.3,0,0,0
32510,NV,Carson City,70.70774686,1.814596374,21.30658176,2.06064334,1.982849079,0.164634367,16.52313927,21.37533017,47015,16.4,0,23.1,0,1,0
33001,NH,Belknap,95.78118759,0.4343629344,1.204899481,1.156636932,0.1980428705,0.01497803222,16.73711889,20.77120224,63377,8.8,0,13.5,0,0,0
33003,NH,Carroll,96.79409427,0.2634991008,0.9891672592,0.6211050232,0.2551340499,0.01463883893,20.57384249,18.64778954,54351,9.6,0,17.7,0,0,0
33005,NH,Cheshire,95.35770323,0.4707133317,1.413436726,1.180025157,0.221740991,0.02463788788,14.70752234,19.59619798,60339,9.9,0,14,0,0,0
33007,NH,Coos,96.2063228,0.426561791,1.213129632,0.4991680532,0.3237029194,0.003025260929,19.35864468,18.91393133,40286,16.1,0,23.4,0,0,1
33009,NH,Grafton,92.3427366,0.8617787652,1.795372428,2.937678135,0.3444870845,0.01795372428,15.49743037,18.38461366,57827,11.2,0,14.9,0,0,0
33011,NH,Hillsborough,87.64801445,1.847919126,5.300695496,3.218698296,0.1851662379,0.02470546839,11.86037168,23.47818058,73474,8,0,10.2,0,1,0
33013,NH,Merrimack,94.26610673,0.9914985148,1.597186657,1.57533545,0.242411827,0.02731400867,13.66246714,21.81433303,68148,8.3,0,10.7,0,0,0
33015,NH,Rockingham,94.16983094,0.6063213232,2.080461211,1.663149551,0.1415878844,0.03150161065,12.67651911,22.84307117,87103,5.2,0,6.5,0,1,0
33017,NH,Strafford,92.74583208,0.9290012425,1.787352915,2.575055017,0.1900229814,0.03329462495,11.89267762,20.64266747,60931,11.4,0,13.6,0,1,0
33019,NH,Sullivan,96.21645101,0.4000731562,1.127063234,0.6172557268,0.2697636139,0.009144529285,16.49901696,21.03698962,53804,11.2,0,17.5,0,0,0
34001,NJ,Atlantic,58.59464067,14.89060241,16.84253084,7.437288062,0.177746049,0.02185402241,14.16941967,23.27016307,53296,14.1,0,21.9,0,1,0
34003,NJ,Bergen,62.53927673,5.17613212,16.05109179,14.4170471,0.09600979322,0.01911357218,15.1475612,22.58329319,88512,7.1,0,8.6,0,1,0
34005,NJ,Burlington,70.64786711,15.8773349,6.424964456,4.277144143,0.1461890563,0.04300989005,13.85898996,23.23046616,74844,7.7,0,10,0,1,0
34007,NJ,Camden,60.28302934,18.44849773,14.23595902,5.070114882,0.1672322192,0.02063633904,12.79550361,24.35808331,63589,13.1,0,19.6,0,1,0
34009,NJ,Cape May,86.89867887,4.363337274,6.224232766,0.841001388,0.147021025,0.0328998098,21.56685344,18.86495656,55632,10.5,0,18.1,0,1,0
34011,NJ,Cumberland,50.30720596,18.72299201,27.06025571,1.181659422,0.702367143,0.01975805938,12.61647695,24.03153641,50259,17.2,0,25.5,0,1,0
34013,NJ,Essex,33.18715408,39.33293281,20.29633825,4.501708613,0.1924821007,0.02257742334,11.51665436,24.8629729,52206,16.8,0,24.1,1,1,0
34015,NJ,Gloucester,81.06303419,9.67990343,4.756354756,2.613358863,0.1252220002,0.02150627151,12.38310301,24.37180875,76780,7.7,0,9.8,0,1,0
34017,NJ,Hudson,30.82460671,11.24370532,42.23038914,13.21606392,0.1474144917,0.0277486102,10.41613456,20.67933643,60053,17.7,0,27,1,1,0
34019,NJ,Hunterdon,87.73500378,2.518913276,5.237282721,3.237267139,0.07557518952,0.02103639296,12.73402987,23.54284022,102797,5,0,4.6,0,1,0
34021,NJ,Mercer,54.54349505,19.47488902,15.09305263,8.879630463,0.1459702657,0.03983487625,12.64539048,22.64094316,72172,11.2,0,15.2,0,1,0
34023,NJ,Middlesex,49.2338163,8.835746514,18.39520015,21.30422864,0.1473097753,0.01926263617,12.2814123,22.89994048,78249,8.5,0,10.8,0,1,0
34025,NJ,Monmouth,76.68945715,6.968971097,9.667026238,4.920524128,0.09771883626,0.0272851296,13.75218122,23.84260287,86722,7.5,0,10,0,1,0
34027,NJ,Morris,75.0698795,2.871153581,11.47364487,8.910042334,0.07495795042,0.01421966539,13.84487564,23.90833597,101754,5.3,0,5.8,0,1,0
34029,NJ,Ocean,85.94560563,2.876161834,8.287501713,1.721222338,0.07874193285,0.01595651503,21.00432387,23.40040273,63478,10.9,0,18.9,0,1,0
34031,NJ,Passaic,45.31768105,11.06885916,37.04456672,4.899187193,0.1534238048,0.01057407237,12.03528947,24.86163926,55723,17.3,0,26.3,0,1,0
34033,NJ,Salem,76.77617542,13.52844151,6.820210947,0.8292601728,0.2829774677,0.01513248491,15.00688528,23.47048409,63988,11.9,0,18.5,0,1,0
34035,NJ,Somerset,62.40616614,8.496061142,13.01338099,14.05900249,0.08811417123,0.02226042221,12.36751957,24.99196151,99059,5.5,0,7,0,1,0
34037,NJ,Sussex,88.7575788,1.640036177,6.442903561,1.745218236,0.09848256457,0.01942853315,11.95859713,23.96610056,84431,5.6,0,7,0,1,0
34039,NJ,Union,45.35180867,20.82110125,27.34469216,4.565898538,0.1017709259,0.01994411919,12.63021925,24.46565604,70581,10.6,0,15.7,0,1,0
34041,NJ,Warren,85.71468001,3.30475104,7.046516763,2.430721672,0.0984433077,0.01748058735,14.06911272,23.56015162,71672,7.7,0,10.7,0,1,0
35001,NM,Bernalillo,41.48459621,2.459083198,47.85786732,2.208239506,3.963088849,0.07078561467,12.22734709,24.01730248,47870,19,0,25,0,1,0
35003,NM,Catron,76.02684564,0.4026845638,19.03355705,0.1342281879,2.33557047,0,27.94630872,15.83892617,36570,23.4,0,44.9,1,0,0
35005,NM,Chaves,43.87386701,1.643689542,52.00548404,0.5682077843,0.6976921319,0.04417701272,14.15644756,28.00365603,39265,21.1,0,28.8,1,0,0
35006,NM,Cibola,21.5228016,0.8121118583,36.50461177,0.4997611436,39.24594863,0.06981957153,12.81005402,25.11299746,35580,29.2,1,37.9,1,0,0
35007,NM,Colfax,49.91272727,0.2836363636,47.18545455,0.3490909091,0.9454545455,0.04363636364,20.05818182,20.64727273,37269,19.7,0,29.8,1,0,0
35009,NM,Curry,50.73796924,5.734248388,39.51752935,1.18653878,0.5953365305,0.05787994047,11.42301968,28.35496941,41879,21.7,0,29.3,1,0,0
35011,NM,De Baca,59.34718101,0.09891196835,38.52621167,0,0.4451038576,0,22.89812067,22.30464886,33427,20.2,0,32.6,1,0,1
35013,NM,Doña Ana,30.1061496,1.350169428,65.72290222,0.969732308,0.7269407789,0.06117581835,12.36946371,26.6965536,39421,25.7,1,38.8,1,1,0
35015,NM,Eddy,52.22277954,1.094205726,44.08590165,0.6037637705,0.8155455238,0.02972375485,14.00917721,26.07330621,60407,12.3,0,17.1,0,0,0
35017,NM,Grant,48.64132276,0.6268211696,48.28894762,0.3693162567,0.7284678458,0.07454089585,21.34241377,21.93196449,39792,20.5,0,30.1,0,0,0
35019,NM,Guadalupe,16.06571368,1.408150203,79.58182206,1.23746533,0.9814380201,0,15.53232345,21.78365692,31710,23.9,1,31.6,1,0,0
35021,NM,Harding,56.25899281,0.2877697842,43.02158273,0,0.2877697842,0,29.20863309,13.23741007,39561,14.3,0,20.9,0,0,1
35023,NM,Hidalgo,41.37719657,0.3473641193,56.57948508,0.4699632203,0.3269309358,0.04086636698,16.65304454,25.78667756,34336,25.2,0,35.4,1,0,1
35025,NM,Lea,43.01914193,3.706335841,51.08069276,0.4665749996,0.7230367544,0.02780910594,10.80074776,29.39731488,54686,14.3,0,18.3,0,0,0
35027,NM,Lincoln,66.35117334,0.3610284432,29.80924038,0.326877104,1.985656438,0.02439381373,21.97882617,18.96862956,40297,17.8,0,32.3,1,0,0
35028,NM,Los Alamos,76.26183844,0.5403899721,14.74094708,5.905292479,0.6183844011,0.04456824513,14.9637883,24.22284123,107126,4,0,4.1,0,0,0
35029,NM,Luna,35.8517633,0.7531380753,61.45845786,0.4463040446,0.573819486,0.007969715083,19.55369596,26.47937836,27151,30.9,1,41.2,1,0,0
35031,NM,McKinley,10.32842836,0.4434062552,13.25043361,0.7581267834,73.29771163,0.02377888435,9.529737593,31.29441056,29040,34.1,1,39.2,1,0,0
35033,NM,Mora,17.88567916,0.20487605,80.98750256,0.225363655,0.348289285,0.020487605,18.74615857,21.34808441,31816,23.9,0,35.5,0,0,0
35035,NM,Otero,52.84888004,3.210182297,34.52513441,1.122309826,5.857642209,0.205338809,14.97249087,25.01841779,38381,23,0,33.6,0,0,0
35037,NM,Quay,53.61132618,0.9069793164,42.40681341,0.862736423,0.7631899126,0.04424289349,20.62824909,21.76750359,29047,23,0,35.7,1,0,1
35039,NM,Rio Arriba,12.7913333,0.2559260548,71.31888883,0.342891219,14.04114695,0.01739303285,14.0610247,24.63101923,37319,24.2,0,30.6,1,0,0
35041,NM,Roosevelt,55.53763983,1.49148443,39.87201451,0.8112465988,0.9120225738,0.01511639625,11.90668145,26.55446941,38053,20.4,1,26.6,1,0,0
35043,NM,Sandoval,47.46467418,1.871375256,35.06282257,1.340062785,12.16621947,0.1026139965,12.07044641,26.72448522,62833,11.2,0,15.7,0,1,0
35045,NM,San Juan,42.48869613,0.4744547999,19.05201316,0.3421918735,35.61948264,0.04921411215,10.82941158,28.95250838,49173,18.8,0,23.5,1,1,0
35047,NM,San Miguel,19.66794815,1.153335828,76.83121832,0.5953798523,0.7688905522,0.07484775287,15.20430034,21.98482632,32303,28.7,1,35.9,1,0,0
35049,NM,Santa Fe,43.90025664,0.6568634251,50.64507179,1.088298536,2.268849275,0.04092390927,15.12381217,20.97246306,55247,13.1,0,18.6,0,1,0
35051,NM,Sierra,68.44344344,0.3670337004,27.96129463,0.4087420754,1.084417751,0.01668335002,30.64731398,16.08274942,29432,28.7,0,43.6,1,0,0
35053,NM,Socorro,37.56296877,0.7948057763,48.4943468,1.164222546,10.57875294,0.02238889511,14.17776783,23.90014553,33673,23.5,1,40.7,1,0,0
35055,NM,Taos,36.30567447,0.3157543189,55.80653976,0.6102559432,5.304065337,0.0151804961,17.08413031,20.59082491,37092,19.9,1,32,1,0,0
35057,NM,Torrance,55.99096625,1.049868766,39.05878044,0.3723371788,1.67246536,0.04272721724,14.1976439,24.11646219,35950,26.2,0,36.7,1,1,0
35059,NM,Union,56.03429325,1.62673115,39.67905034,0.4836227742,1.099142669,0.02198285337,17.87205979,20.44405364,36715,17.1,0,26.3,0,0,0
35061,NM,Valencia,36.22092492,1.095743708,58.25464614,0.4100876334,2.764826496,0.04179237028,12.72316473,26.35792553,42395,19.8,0,27,0,1,0
36001,NY,Albany,75.9858516,11.96433972,4.903617309,4.766538244,0.1489132293,0.02892795624,13.90974478,19.93103312,57312,12.6,0,16.4,0,1,0
36003,NY,Allegany,95.41331263,1.009275528,1.368855473,0.9214236097,0.1981775835,0.0143014751,15.20655416,21.6074858,44331,16.8,0,25.6,0,0,1
36005,NY,Bronx,10.91676606,30.08393569,53.52745057,3.417423046,0.2498000156,0.02873422145,10.53217511,26.58247588,35102,30.3,1,42.6,1,1,0
36007,NY,Broome,86.2781655,4.411764706,3.37886341,3.499002991,0.1635094716,0.02991026919,16.37288136,20.21884347,46067,17.7,0,23.2,0,1,0
36009,NY,Cattaraugus,91.94691037,1.202734166,1.674614341,0.6524148063,2.939601828,0.01743092994,15.46247992,23.40849384,40933,18,0,26.1,0,0,1
36011,NY,Cayuga,91.34281359,3.760027991,2.36923,0.4835928323,0.3148976583,0.03248944093,15.28878115,21.61547497,51925,12.7,0,20.3,0,0,1
36013,NY,Chautauqua,89.29468886,2.048107928,6.10874319,0.501093362,0.426967125,0.02297913346,16.5901931,21.82721174,43973,17.2,0,28.2,0,0,1
36015,NY,Chemung,87.40628166,6.223122819,2.521670607,1.171901385,0.2319036362,0.01576044129,15.69627378,22.37982664,51285,14.9,0,23.2,0,1,1
36017,NY,Chenango,95.61780613,0.6398953979,1.840442182,0.3962200606,0.2991461458,0.007924401212,16.64718585,22.74105038,49082,14.3,0,23.3,0,0,1
36019,NY,Clinton,91.11630625,3.595606858,2.500974089,1.083674265,0.3238846678,0.018264173,13.33528151,19.34784726,46747,17.5,0,22.3,0,0,0
36021,NY,Columbia,88.23380246,4.264929631,3.889311525,1.581716749,0.1347153544,0.02377329783,18.1675542,20.29764169,58335,13.6,0,19.4,0,0,0
36023,NY,Cortland,93.74898654,1.428976812,2.217447706,0.8350899951,0.2553916005,0.006080752392,13.08983298,21.10223772,49894,16.2,0,20,0,0,0
36025,NY,Delaware,93.17632347,1.44018341,3.251354731,0.7565652355,0.2125885786,0.0125052105,19.42684452,19.60191747,42907,16.9,0,27.1,0,0,0
36027,NY,Dutchess,74.56166299,9.208774808,10.51033991,3.472408971,0.1563088259,0.02689184102,13.5481095,22.17534825,71348,10.4,0,12.9,0,1,0
36029,NY,Erie,77.70673747,13.04796309,4.5407164,2.570181929,0.5656989903,0.01795351671,15.70813022,21.64693593,52176,15.6,0,24.3,0,1,1
36031,NY,Essex,92.93370587,2.494284989,2.522225044,0.6604013208,0.2514605029,0.02032004064,18.14325629,19.26847854,52282,12.2,0,19.3,0,0,0
36033,NY,Franklin,82.63726041,5.492354503,2.918661214,0.4166747418,7.273396771,0.01550417644,13.33359174,20.77559643,45682,18.3,0,26.2,0,0,0
36035,NY,Fulton,93.83947705,1.766580829,2.274405287,0.5762547046,0.187282779,0.01980875547,16.02888477,22.1966109,46543,17.9,0,26.9,0,0,0
36037,NY,Genesee,91.52948618,2.481732386,2.689791774,0.5908886633,1.100218046,0.003328950216,15.62942126,22.06927545,53771,13.4,0,19.4,0,0,0
36039,NY,Greene,87.07055931,5.294488125,4.914568985,0.7760915057,0.2478616851,0.03047479734,17.29749497,19.26413523,48144,16.4,0,24.3,0,0,0
36041,NY,Hamilton,96.4433416,0.682382134,1.054590571,0.4962779156,0.2274607113,0.08271298594,23.36641853,16.43920596,47997,11.1,0,19.4,0,0,0
