"address","city","latitude","longitude","name","postalCode","county_code","State","County","pct_diabetes","pct_obese","pct_white","pct_black","pct_hisp","pct_asian","pct_other","poverty_rate"
"424 S Woodruff Ave","Idaho Falls",43.49399,-111.99958,"Jack in the Box","83401",16019,"ID","Bonneville",8.5,29.4,85.26296602,0.5113494637,11.42813285,0.8068384596,0.60920620911,13.2
"123 S 4th Ave","Pocatello",42.86532,-112.44441,"Jack in the Box","83201",16005,"ID","Bannock",10,28.1,86.39167542,0.7134320791,6.744407827,1.279590531,2.9828945303,22.3
"625 S 5th Ave","Pocatello",42.86235,-112.43917,"Jimmy John's","83201",16005,"ID","Bannock",10,28.1,86.39167542,0.7134320791,6.744407827,1.279590531,2.9828945303,22.3
"1544 Pocatello Creek Rd","Pocatello",42.89864,-112.43338,"Subway","83201",16005,"ID","Bannock",10,28.1,86.39167542,0.7134320791,6.744407827,1.279590531,2.9828945303,22.3
"791 Yellowstone Ave","Pocatello",42.88932,-112.45208,"Arby's","83201",16005,"ID","Bannock",10,28.1,86.39167542,0.7134320791,6.744407827,1.279590531,2.9828945303,22.3
"929 Yellowstone Ave","Pocatello",42.891976,-112.451452,"Wendy's","83201",16005,"ID","Bannock",10,28.1,86.39167542,0.7134320791,6.744407827,1.279590531,2.9828945303,22.3
"1735 E Vienna St","Anna",37.462935,-89.22777,"Burger King","62906",17181,"IL","Union",11.9,28.2,92.39667565,0.847933513,4.846136568,0.2920035939,0.35938903864,15.3
"140 E Vienna St","Anna",37.459786,-89.245351,"Hardee's","62906",17181,"IL","Union",11.9,28.2,92.39667565,0.847933513,4.846136568,0.2920035939,0.35938903864,15.3
"1195 E Vienna Street","Anna",37.462324,-89.23027,"Taco Bell","62906",17181,"IL","Union",11.9,28.2,92.39667565,0.847933513,4.846136568,0.2920035939,0.35938903864,15.3
"568 N 2nd E","Rexburg",43.835842,-111.77808,"KFC","83440",16065,"ID","Madison",5.5,24.5,91.16048593,0.4742114237,5.908994032,0.9271099744,0.3516624041,28.1
"545 N 2nd E","Rexburg",43.83563,-111.77808,"Wendy's","83440",16065,"ID","Madison",5.5,24.5,91.16048593,0.4742114237,5.908994032,0.9271099744,0.3516624041,28.1
"461 N 2nd E","Rexburg",43.835073,-111.778081,"Jack in the Box","83440",16065,"ID","Madison",5.5,24.5,91.16048593,0.4742114237,5.908994032,0.9271099744,0.3516624041,28.1
"175 Valley River Dr","Rexburg",43.83369,-111.77853,"McDonald's","83440",16065,"ID","Madison",5.5,24.5,91.16048593,0.4742114237,5.908994032,0.9271099744,0.3516624041,28.1
"346 N 2nd E","Rexburg",43.83341,-111.77794,"Dairy Queen","83440",16065,"ID","Madison",5.5,24.5,91.16048593,0.4742114237,5.908994032,0.9271099744,0.3516624041,28.1
"478 N 2nd E","Rexburg",43.83616,-111.77758,"Arby's","83440",16065,"ID","Madison",5.5,24.5,91.16048593,0.4742114237,5.908994032,0.9271099744,0.3516624041,28.1
"210 N 1st Ave","Canton",40.55842,-90.03364,"Burger King","61520",17057,"IL","Fulton",11.6,30.7,92.79182066,3.420647981,2.417114031,0.2994415819,0.226604440318,14.9
"638 N Main St","Canton",40.563491,-90.035021,"Hardee's","61520",17057,"IL","Fulton",11.6,30.7,92.79182066,3.420647981,2.417114031,0.2994415819,0.226604440318,14.9
"810 E Broadway","Centralia",38.52638,-89.12477,"McDonald's","62801",17121,"IL","Marion",10.5,33.5,92.4411086,3.894819586,1.37434389,0.5679945229,0.28906864111,18
"600 S Newport Rd","Pontiac",40.87296,-88.66152,"Burger King","61764",17105,"IL","Livingston",9.5,29.2,89.6097561,4.844672657,3.933247754,0.5057766367,0.133504492895,12.8
"1600 W Reynolds St","Pontiac",40.87297,-88.65759,"Taco Bell","61764",17105,"IL","Livingston",9.5,29.2,89.6097561,4.844672657,3.933247754,0.5057766367,0.133504492895,12.8
"1396 E Main St","Carbondale",37.73535,-89.18663,"McDonald's","62901",17077,"IL","Jackson",9,31.5,75.96731874,14.09545319,3.990501179,3.138596433,0.33876913883,23.5
"4601 Broadway St","Mount Vernon",38.313427,-88.945891,"Burger King","62864",17081,"IL","Jefferson",11.1,30.2,87.35931182,8.226234321,2.057846344,0.6335797254,0.19574007777,16.7
"1700 S 10th St","Mount Vernon",38.30087,-88.903,"Burger King","62864",17081,"IL","Jefferson",11.1,30.2,87.35931182,8.226234321,2.057846344,0.6335797254,0.19574007777,16.7
"3120 James Sanders Blvd","Paducah",37.079123,-88.683966,"Taco Bell","42001",21145,"KY","McCracken",11.5,33.7,83.92434988,10.94943949,2.109357127,0.7946312819,0.20742774346,15.2
"1440 Columbus St","Ottawa",41.354618,-88.8412,"Wendy's","61350",17099,"IL","LaSalle",10.4,27.1,88.25620589,1.846845265,8.018503564,0.6627225168,0.18696674978,12.9
"5139 Hinkleville Rd","Paducah",37.07607,-88.68939,"Wendy's","42001",21145,"KY","McCracken",11.5,33.7,83.92434988,10.94943949,2.109357127,0.7946312819,0.20742774346,15.2
"885 E Il Route 38","Rochelle",41.93507,-89.03496,"Wendy's","61068-9699",17141,"IL","Ogle",10.4,31.2,88.64983083,0.8748154102,8.862179188,0.450492551,0.179449314885,10.4
"328 E Morton Ave","Jacksonville",39.723221,-90.225307,"Jimmy John's","62650",17137,"IL","Morgan",11.3,28.8,89.84443132,5.918924241,2.002981968,0.4585478381,0.20536191522,14.8
"905 W Morton Ave","Jacksonville",39.72263,-90.24358,"Burger King","62650",17137,"IL","Morgan",11.3,28.8,89.84443132,5.918924241,2.002981968,0.4585478381,0.20536191522,14.8
"1690 E Jackson St Ste F","Macomb",40.45991,-90.64454,"Arby's","61455",17109,"IL","McDonough",9.3,26.8,88.85992886,4.887771373,2.658530602,1.753955599,0.165583220885,22.8
"109 S Gilbert St","Danville",40.119324,-87.636202,"McDonald's","61832",17183,"IL","Vermilion",12.7,35.4,80.35528331,12.7338438,4.215620214,0.6848392037,0.18376722815,18.4
"15 W Fairchild St","Danville",40.138555,-87.630379,"Hardee's","61832",17183,"IL","Vermilion",12.7,35.4,80.35528331,12.7338438,4.215620214,0.6848392037,0.18376722815,18.4
"306 S Gilbert St","Danville",40.116181,-87.636225,"Long John Silver's","61832",17183,"IL","Vermilion",12.7,35.4,80.35528331,12.7338438,4.215620214,0.6848392037,0.18376722815,18.4
"2565 Hart St","Vincennes",38.65964,-87.50887,"Arby's","47591",18083,"IN","Knox",11,32.3,94.05306972,2.585848075,1.534859521,0.5567117586,0.19510926117,19.1
"639 N 13th St","Decatur",40.834574,-84.937724,"Taco Bell","46733",18001,"IN","Adams",13.9,32.8,94.57353069,0.2966237241,4.106202926,0.2268299067,0.19484107368,12.8
"1312 S 13th St","Decatur",40.81476,-84.938277,"Arby's","46733",18001,"IN","Adams",13.9,32.8,94.57353069,0.2966237241,4.106202926,0.2268299067,0.19484107368,12.8
"946 W Washington St","Pittsfield",39.606653,-90.82158,"Hardee's","62363",17149,"IL","Pike",12,32.6,96.17772368,1.667681071,1.04686549,0.2312842362,0.17041996347,15
"705 W 7th St","Auburn",41.366782,-85.065641,"Penguin Point","46706",18033,"IN","DeKalb",10,32.8,95.69665822,0.3339412169,2.441797125,0.440518201,0.23920611992,10.5
"450 W North St","Kendallville",41.452697,-85.273445,"Arby's","46755",18113,"IN","Noble",11.8,31.8,88.57287109,0.3576236957,9.607455402,0.3660383709,0.19984853589,9.8
"120 W North St","Kendallville",41.452288,-85.267806,"Wendy's","46755",18113,"IN","Noble",11.8,31.8,88.57287109,0.3576236957,9.607455402,0.3660383709,0.19984853589,9.8
"618 Fairview Blvd","Kendallville",41.45062,-85.24563,"Burger King","46755",18113,"IN","Noble",11.8,31.8,88.57287109,0.3576236957,9.607455402,0.3660383709,0.19984853589,9.8
"211 W North St","Kendallville",41.452289,-85.268745,"McDonald's","46755",18113,"IN","Noble",11.8,31.8,88.57287109,0.3576236957,9.607455402,0.3660383709,0.19984853589,9.8
"241 W US Highway 6","Ligonier",41.412,-85.5717,"KFC","46767",18113,"IN","Noble",11.8,31.8,88.57287109,0.3576236957,9.607455402,0.3660383709,0.19984853589,9.8
"337 W Plaza Dr","Columbia City",41.169649,-85.493215,"Taco Bell","46725",18183,"IN","Whitley",10.6,32,96.56073531,0.2883575634,1.546918179,0.3153910849,0.24930914333,7.9
"9 Corvette Dr","Litchfield",39.17805,-89.67558,"KFC","62056",17135,"IL","Montgomery",10.8,31.3,94.12038267,3.152404996,1.524714324,0.3687217645,0.18602179109,16.6
"1502 W McClain Ave","Scottsburg",38.6854,-85.7915,"Wendy's","47170",18143,"IN","Scott",12.7,29.5,97.06381043,0.2150448699,1.463959307,0.4300897399,0.23572226125,15.6
"1205 W Weir St","Litchfield",39.178908,-89.667812,"Wendy's","62056",17135,"IL","Montgomery",10.8,31.3,94.12038267,3.152404996,1.524714324,0.3687217645,0.18602179109,16.6
"2 Ohren Dr","Litchfield",39.17838,-89.66894,"McDonald's","62056",17135,"IL","Montgomery",10.8,31.3,94.12038267,3.152404996,1.524714324,0.3687217645,0.18602179109,16.6
"1201 W Weir St","Litchfield",39.179074,-89.66839,"Taco Bell","62056",17135,"IL","Montgomery",10.8,31.3,94.12038267,3.152404996,1.524714324,0.3687217645,0.18602179109,16.6
"1 Corvette Dr","Litchfield",39.175855,-89.675151,"Jack In The Box","62056",17135,"IL","Montgomery",10.8,31.3,94.12038267,3.152404996,1.524714324,0.3687217645,0.18602179109,16.6
"2 Corvette Dr","Litchfield",39.17591,-89.675037,"Burger King","62056",17135,"IL","Montgomery",10.8,31.3,94.12038267,3.152404996,1.524714324,0.3687217645,0.18602179109,16.6
"105 E Trefz Dr","Marshall",39.41753,-87.69207,"Burger King","62441",17023,"IL","Clark",11.5,32.7,97.49005204,0.2938475666,1.05295378,0.3305785124,0.16528925621,13.8
"1069 Sagamore Pkwy W","West Lafayette",40.45299,-86.92139,"Burger King","47906",18157,"IN","Tippecanoe",6.9,26.4,80.36520431,3.895705521,7.493344137,6.18069221,0.22572056953,18.9
"3416 16th St","Bedford",38.860945,-86.517296,"Wendy's","47421",18093,"IN","Lawrence",15.1,38.2,96.59253479,0.3923353709,1.18134131,0.4855421164,0.34031300131,13.9
"3216 29th St","Bedford",38.84594,-86.51478,"Arby's","47421",18093,"IN","Lawrence",15.1,38.2,96.59253479,0.3923353709,1.18134131,0.4855421164,0.34031300131,13.9
"1804 N Wayne St","Angola",41.65625,-84.99869,"Burger King","46703",18151,"IN","Steuben",10.4,33.7,95.10896592,0.4534152406,2.872604944,0.4738920579,0.2544975867,10.1
"2601 16th St 270","Bedford",38.86139,-86.50716,"Burger King","47421",18093,"IN","Lawrence",15.1,38.2,96.59253479,0.3923353709,1.18134131,0.4855421164,0.34031300131,13.9
"613 Sagamore Pkwy W","West Lafayette",40.45282,-86.91764,"McDonald's","47906",18157,"IN","Tippecanoe",6.9,26.4,80.36520431,3.895705521,7.493344137,6.18069221,0.22572056953,18.9
"124 E State St","West Lafayette",40.422445,-86.905196,"McDonald's","47906",18157,"IN","Tippecanoe",6.9,26.4,80.36520431,3.895705521,7.493344137,6.18069221,0.22572056953,18.9
"409 N 13th St","Decatur",40.832525,-84.937673,"Wendy's","46733",18001,"IN","Adams",13.9,32.8,94.57353069,0.2966237241,4.106202926,0.2268299067,0.19484107368,12.8
"410 N 13th St","Decatur",40.832543,-84.937674,"McDonald's","46733",18001,"IN","Adams",13.9,32.8,94.57353069,0.2966237241,4.106202926,0.2268299067,0.19484107368,12.8
"334 N 13th St","Decatur",40.831361,-84.937642,"Burger King","46733",18001,"IN","Adams",13.9,32.8,94.57353069,0.2966237241,4.106202926,0.2268299067,0.19484107368,12.8
